ZUMP,blue,2019-11-11 19:32:11,Operating system,remove,,,,,,,,,,,,,
G9T5,yellow,2019-11-11 19:32:16,Neural network,similar,,,,,,,,,,,,,
ROGI,blue,2019-11-11 19:32:20,ai,searchbox,,,,,,,,,,,,,
LKLR,green,2019-11-11 19:32:21,data mining ,searchbox,,,,,,,,,,,,,
NP3J,green,2019-11-11 19:32:21,computer model,searchbox,,,,,,,,,,,,,
C5ZL,blue,2019-11-11 19:32:23,Programming language,remove,,,,,,,,,,,,,
9HVH,red,2019-11-11 19:32:23,Feature learning,remove,,,,,,,,,,,,,
C5ZL,blue,2019-11-11 19:32:24,Instruction scheduling,remove,,,,,,,,,,,,,
C5ZL,blue,2019-11-11 19:32:24,Parallel computing,remove,,,,,,,,,,,,,
C5ZL,blue,2019-11-11 19:32:24,Embedded system,remove,,,,,,,,,,,,,
ROGI,blue,2019-11-11 19:32:28,artifical intelligence,searchbox,,,,,,,,,,,,,
NP3J,green,2019-11-11 19:32:30,artificial intelligence,searchbox,,,,,,,,,,,,,
LKLR,green,2019-11-11 19:32:35,software development,searchbox,,,,,,,,,,,,,
G9T5,yellow,2019-11-11 19:32:35,Computer architecture,similar,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:32:35,Deep learning,remove,,,,,,,,,,,,,
G9T5,yellow,2019-11-11 19:32:36,Reinforcement learning,similar,,,,,,,,,,,,,
CVVU,yellow,2019-11-11 19:32:40,FPGA,searchbox,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:32:43,Machine learning,remove,,,,,,,,,,,,,
NP3J,green,2019-11-11 19:32:43,machine learning,searchbox,,,,,,,,,,,,,
LKLR,green,2019-11-11 19:32:46,environmental engineering,searchbox,,,,,,,,,,,,,
FGGG,blue,2019-11-11 19:32:46,Cloud computing,details,,,,,,,,,,,,,
CVVU,yellow,2019-11-11 19:32:46,FPGAs,searchbox,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:32:47,Artificial intelligence,remove,,,,,,,,,,,,,
NP3J,green,2019-11-11 19:32:49,python,searchbox,,,,,,,,,,,,,
FGGG,blue,2019-11-11 19:32:50,Computer architecture,details,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:32:52,Big data,details,,,,,,,,,,,,,
8IVJ,yellow,2019-11-11 19:32:53,machine learning,searchbox,,,,,,,,,,,,,
CVVU,yellow,2019-11-11 19:32:53,Architecture,searchbox,,,,,,,,,,,,,
FGGG,blue,2019-11-11 19:32:55,Power management,details,,,,,,,,,,,,,
N7P0,red,2019-11-11 19:32:55,Artificial intelligence,details,,,,,,,,,,,,,
QI92,green,2019-11-11 19:32:57,AI,searchbox,,,,,,,,,,,,,
QI92,green,2019-11-11 19:32:59,A,searchbox,,,,,,,,,,,,,
8IVJ,yellow,2019-11-11 19:33:00,python,searchbox,,,,,,,,,,,,,
NP3J,green,2019-11-11 19:33:01,artificial intelligence,searchbox,,,,,,,,,,,,,
8IVJ,yellow,2019-11-11 19:33:03,coding,searchbox,,,,,,,,,,,,,
NP3J,green,2019-11-11 19:33:06,machine learning,searchbox,,,,,,,,,,,,,
QI92,green,2019-11-11 19:33:07,MACHINE LEARNING,searchbox,,,,,,,,,,,,,
8IVJ,yellow,2019-11-11 19:33:13,biology,searchbox,,,,,,,,,,,,,
ZUMP,blue,2019-11-11 19:33:17,Deep learning,similar,,,,,,,,,,,,,
C2MH,red,2019-11-11 19:33:18,computer architecture,searchbox,,,,,,,,,,,,,
C5ZL,blue,2019-11-11 19:33:22,Instruction scheduling,details,,,,,,,,,,,,,
LKLR,green,2019-11-11 19:33:23,indoor gas,searchbox,,,,,,,,,,,,,
C5ZL,blue,2019-11-11 19:33:23,Transactional memory,details,,,,,,,,,,,,,
LKLR,green,2019-11-11 19:33:31,indoor air,searchbox,,,,,,,,,,,,,
HSWX,blue,2019-11-11 19:33:34,Computer security,remove,,,,,,,,,,,,,
HSWX,blue,2019-11-11 19:33:35,Hardware security,remove,,,,,,,,,,,,,
M3VR,blue,2019-11-11 19:33:35,machine learning and artificial intelligence,searchbox,,,,,,,,,,,,,
LKLR,green,2019-11-11 19:33:37,indoor air quality,searchbox,,,,,,,,,,,,,
HSWX,blue,2019-11-11 19:33:38,Mobile malware,remove,,,,,,,,,,,,,
OJWB,red,2019-11-11 19:33:39,computer archetecture,searchbox,,,,,,,,,,,,,
HSWX,blue,2019-11-11 19:33:41,Packet processing,similar,,,,,,,,,,,,,
45UW,blue,2019-11-11 19:33:44,Neural network,similar,,,,,,,,,,,,,
JNMM,red,2019-11-11 19:33:49,sports,searchbox,,,,,,,,,,,,,
JNMM,red,2019-11-11 19:33:54,architecture,searchbox,,,,,,,,,,,,,
QI92,green,2019-11-11 19:33:57,web,searchbox,,,,,,,,,,,,,
DJEG,yellow,2019-11-11 19:34:11,Deep learning,similar,,,,,,,,,,,,,
CVVU,yellow,2019-11-11 19:34:20,Intel,searchbox,,,,,,,,,,,,,
2H6O,red,2019-11-11 19:34:22,optimization,searchbox,,,,,,,,,,,,,
8IVJ,yellow,2019-11-11 19:34:23,psychology,searchbox,,,,,,,,,,,,,
2H6O,red,2019-11-11 19:34:25,optimization,searchbox,,,,,,,,,,,,,
CVVU,yellow,2019-11-11 19:34:27,Computer Architecutre,searchbox,,,,,,,,,,,,,
